KEY;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result)
04.05.19_VfL Wolfsburg_1. FC Nürnberg;2;0;Home Win;1;0;Home Win
05.05.19_SC Freiburg_Fortuna Düsseldorf;1;1;Draw;1;1;Draw
05.05.19_Bayer 04 Leverkusen_Eintracht Frankfurt;6;1;Home Win;6;1;Home Win
05.05.19_FC Schalke 04_FC Augsburg;0;0;Draw;0;0;Draw
11.05.19_FC Augsburg_Hertha BSC Berlin;3;4;Away Win;1;0;Home Win
11.05.19_Borussia Dortmund_Fortuna Düsseldorf;3;2;Home Win;1;0;Home Win
11.05.19_Hannover 96_SC Freiburg;3;0;Home Win;1;0;Home Win
11.05.19_1899 Hoffenheim_Werder Bremen;0;1;Away Win;0;1;Away Win
11.05.19_Bayer 04 Leverkusen_FC Schalke 04;1;1;Draw;1;0;Home Win
11.05.19_1. FC Nürnberg_Borussia Mönchengladbach;0;4;Away Win;0;0;Draw
11.05.19_RB Leipzig_FC Bayern München;0;0;Draw;0;0;Draw
11.05.19_VfB Stuttgart_VfL Wolfsburg;3;0;Home Win;1;0;Home Win
12.05.19_Eintracht Frankfurt_FSV Mainz 05;0;2;Away Win;0;0;Draw
18.05.19_FC Bayern München_Eintracht Frankfurt;5;1;Home Win;1;0;Home Win
18.05.19_Fortuna Düsseldorf_Hannover 96;2;1;Home Win;0;0;Draw
18.05.19_SC Freiburg_1. FC Nürnberg;5;1;Home Win;2;0;Home Win
18.05.19_Hertha BSC Berlin_Bayer 04 Leverkusen;1;5;Away Win;1;2;Away Win
18.05.19_FSV Mainz 05_1899 Hoffenheim;4;2;Home Win;0;2;Away Win
18.05.19_Borussia Mönchengladbach_Borussia Dortmund;0;2;Away Win;0;1;Away Win
18.05.19_FC Schalke 04_VfB Stuttgart;0;0;Draw;0;0;Draw
18.05.19_Werder Bremen_RB Leipzig;2;1;Home Win;1;0;Home Win
18.05.19_VfL Wolfsburg_FC Augsburg;8;1;Home Win;3;0;Home Win
